train/reward_max,train/reward_min,train/reward,time/time_elapsed,train/reward_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range
44.66485,-71.41682,0.8021981,604,0.21300507,192,116736,57,224.95175995826722,0.16155189275741577,-44.8307785987854,0.17568359375,42.006282806396484,560,0.019555336,1.0794209241867065,-0.012690090398973553,0.00025,0.2
66.22462,-114.766045,1.2361139,615,0.35655117,193,118784,58,133.45326645374297,0.2579396367073059,-44.88922340869904,0.340087890625,143.47842407226562,570,0.03794425,1.082633376121521,-0.00446526950399857,0.00025,0.2
15.64064,-12.232418,1.2449018,625,0.17660318,193,120832,59,296.79219155311586,0.06793463230133057,-44.945958614349365,0.313671875,69.96910095214844,580,0.044330437,1.0828996896743774,-0.002797458760323934,0.00025,0.2
58.24473,-93.72348,0.61894345,635,0.20975262,193,122880,60,24.400274431705476,0.4928753972053528,-44.950022673606874,0.264697265625,8.76111125946045,590,0.032256015,1.0833615064620972,-0.007222000861656852,0.00025,0.2
48.542377,-74.28897,0.7643834,646,0.23122652,193,124928,61,207.39519734382628,0.2622251510620117,-45.020591735839844,0.33046875,106.42064666748047,600,0.033608533,1.0873898267745972,0.00375517136126291,0.00025,0.2
32.154087,-31.630749,6.0273676,656,0.2252093,193,126976,62,145.8131461620331,0.10350626707077026,-45.084188389778134,0.281787109375,119.74555969238281,610,0.027582625,1.0885635614395142,-0.005015213118167594,0.00025,0.2
56.717976,-86.52004,4.500045,666,0.18702011,193,129024,63,79.36502945423126,0.04368996620178223,-45.12961595058441,0.375048828125,41.108795166015625,620,0.038568396,1.090654969215393,0.009022318480128888,0.00025,0.2
55.584263,-88.34605,-0.31267577,677,0.24923627,193,131072,64,173.4998029947281,0.16186809539794922,-45.182625675201415,0.289892578125,50.09991455078125,630,0.026291955,1.0926158428192139,-0.0011638641153695062,0.00025,0.2
38.143875,-61.820267,-1.2063866,687,0.20511198,193,133120,65,196.21028685569763,0.2273043394088745,-45.221793913841246,0.145068359375,131.57565307617188,640,0.020722814,1.0937973260879517,-0.0035566522463341245,0.00025,0.2
12.8047,-16.208166,1.8847071,698,0.13897537,193,135168,66,95.69178504943848,0.1149168610572815,-45.24634687900543,0.253466796875,24.700042724609375,650,0.030245688,1.0939860343933105,-0.005113097513094545,0.00025,0.2
46.97486,-72.829285,-1.9436833,708,0.22278015,193,137216,67,24.74512795805931,0.6047413945198059,-45.26003844738007,0.2669921875,10.315993309020996,660,0.02411508,1.0948104858398438,-0.004601371570606716,0.00025,0.2
