,PPO,MVO,DJIA
2020-12-08,1087363.2277815712,1213427.0153724893,1168439.898241694
2020-12-09,1072425.4513736276,1197512.527503154,1168401.0406547503
2020-12-10,1067810.8300949486,1199908.4252862416,1165700.4383621528
2020-12-11,1063644.0115457582,1194443.5956053932,1167530.6155284632
2020-12-14,1060537.7018773088,1192681.0639951043,1167530.6155284632
2020-12-15,1068917.185760354,1221879.517031258,1173471.9557509227
2020-12-16,1075401.0317509545,1225546.3886109672,1171731.1054983486
2020-12-17,1080446.65994423,1237214.6476322142,1177517.0153730328
2020-12-18,1072870.1721000373,1224846.013749658,1172683.116378473
2020-12-21,1070487.5832797517,1229511.7977084552,1174140.2758888672
2020-12-22,1072111.3112130936,1243440.4040699117,1166329.9009131533
2020-12-23,1071966.8965611008,1237884.4736356172,1170771.3534583254
2020-12-24,1077820.987511052,1246692.296463162,1173495.2551243443
2020-12-28,1087922.4060434387,1270208.7203187018,1181426.0734408393
2020-12-29,1088426.9878737458,1260907.9930542144,1178772.0698950845
2020-12-30,1082498.5667582443,1256527.525109662,1181643.66074898
2020-12-31,1092737.4536978272,1255852.9064369984,1189294.7347969692
2021-01-04,1080313.1226914567,1237436.4616736637,1174427.8372109965
2021-01-05,1076688.4381054582,1241752.9012307888,1180944.2241839906
2021-01-06,1089306.5683722352,1226622.474273964,1197956.1061054985
2021-01-07,1106230.5443791666,1249366.023187616,1206182.2269040216
2021-01-08,1108711.5487045525,1258971.55243913,1208393.2387798717
2021-01-11,1098001.006841672,1242652.442010443,1204923.225908296
2021-01-12,1093239.7853305633,1239675.0292176348,1207254.6811249272
2021-01-13,1099301.1403910683,1247200.8763677594,1206936.0792694774
2021-01-14,1090973.4184324502,1224606.7239472044,1204254.9057703519
2021-01-15,1087128.0623291482,1222278.5689499064,1197369.371721391
2021-01-19,1097647.1823536386,1226201.7273867042,1201884.5929667768
2021-01-20,1113927.9131728716,1251987.3578750298,1211905.9798183406
2021-01-21,1124465.974907563,1276887.317959617,1211424.1305614922
2021-01-22,1112433.001195359,1286064.1351618154,1204468.6224985428
2021-01-25,1115997.9959923867,1303171.9301324869,1203030.8917816204
2021-01-26,1110044.270908906,1301407.357813566,1202137.167281912
2021-01-27,1092481.5166617136,1279139.4510279133,1177509.1983194093
2021-01-28,1110274.3769264764,1269082.015562103,1189174.291456188
2021-01-29,1089613.2075765925,1233890.0498814227,1165051.4711239557
2021-02-01,1105573.6271954353,1249421.4878235105,1173961.5461676705
2021-02-02,1118792.0276988077,1262673.9542463399,1192442.199339421
2021-02-03,1122115.041093255,1259822.307714848,1193844.9430493491
2021-02-04,1121743.0384015702,1280747.5425713768,1206757.3495482807
2021-02-05,1118319.9659474075,1276792.302718058,1210343.8592869632
2021-02-08,1121402.7979508142,1277009.9866626225,1219576.4826598018
2021-02-09,1126231.733430585,1272178.1617836682,1219187.9067903634
2021-02-10,1128328.8069754457,1272762.8862720588,1221597.0771808822
2021-02-11,1135743.980631978,1275979.386541912,1221321.1275986012
2021-02-12,1132311.1770305221,1274204.3983216104,1222397.5282931805
2021-02-16,1135025.259618165,1263601.944927166,1224896.0255974354
2021-02-17,1138599.8647247818,1259111.8580477065,1228404.8960559547
2021-02-18,1137748.2245488595,1257912.8239302984,1223753.6732562657
2021-02-19,1130658.3245290841,1249593.7373239691,1223792.5308432097
2021-02-22,1118976.8925985459,1230408.6883488153,1224857.1680104916
2021-02-23,1116707.6165456208,1223630.5302188087,1225467.2776617447
2021-02-24,1129501.5058164566,1224688.3863744065,1241962.3233194093
2021-02-25,1103424.8920160797,1191278.0824156175,1220205.9452108026
2021-02-26,1097650.6001068696,1189745.7246126046,1201958.437560715
2021-03-01,1116091.6211288613,1225368.932218785,1225393.4330678065
2021-03-02,1104774.0231828468,1209967.9555781768,1219797.9405478921
2021-03-03,1087282.8613215035,1188374.0568875864,1215080.6143141638
2021-03-04,1082917.767713105,1172538.7357813702,1201635.8892315913
