,A2C,MinVariance,DJIA
2021-03-12,1307964.8306091584,1131609.2064055726,1273700.3279751039
2021-03-15,1318231.266074408,1148396.9066491844,1280493.4312009322
2021-03-16,1314515.3341705245,1150780.8844915316,1275538.627862667
2021-03-17,1320647.9973605664,1155196.3317241268,1282899.1132187666
2021-03-18,1312262.1454375503,1151443.3943587507,1276951.1634710946
2021-03-19,1304504.4417031014,1147670.8711823928,1267845.6517210251
2021-03-22,1311543.8209268071,1155877.1574252255,1271856.8673083994
2021-03-23,1300989.853745902,1154503.2553065477,1259886.8195598084
2021-03-24,1298410.4635942767,1155610.6525836485,1259766.7555509682
2021-03-25,1305111.4778309043,1157910.5558700347,1267515.741325053
2021-03-26,1325978.094671914,1175520.1105969376,1285133.7305868375
2021-03-29,1329814.5160442542,1185039.7539968835,1288960.903682785
2021-03-30,1323447.2960155986,1174233.1222089846,1284903.7723398176
2021-03-31,1319826.7912554063,1171626.002781806,1281584.9359892625
2021-04-01,1325513.6202507748,1172941.3443499801,1288255.2430290587
2021-04-05,1341327.0559505008,1188589.7930334918,1302787.2381521224
2021-04-06,1338659.5577165894,1188495.4921609217,1299019.869379162
2021-04-07,1340427.7973431626,1188798.845277366,1299642.5022037665
2021-04-08,1341261.558055818,1184848.4489045932,1301869.3784031258
2021-04-09,1352826.1728515793,1189977.5930201758,1313411.3091644433
2021-04-12,1348642.9655141076,1189903.1829360693,1311266.2464932317
2021-04-13,1345432.4727100667,1185874.7320889304,1308618.9185814993
2021-04-14,1345746.5841007025,1184988.087486996,1310702.5072658837
2021-04-15,1356042.2163376748,1194691.8145606103,1322557.8794662084
2021-04-16,1363180.828922301,1202380.1891795956,1328957.093813478
2021-04-19,1358335.8452153301,1200542.1014886291,1324175.935514547
2021-04-20,1348678.3161768154,1205675.131446249,1314215.6317723368
2021-04-21,1360754.8759305382,1209489.170943823,1326494.946800336
2021-04-22,1348356.796858561,1198889.1503467672,1314005.7094913938
2021-04-23,1354377.6819083367,1201497.5747825904,1322849.3117000554
2021-04-26,1351748.5811985927,1190902.9231737119,1320443.3261069776
2021-04-27,1350949.0412681992,1187563.2427396309,1320573.8634617217
2021-04-28,1345444.3389596355,1176633.3448044902,1314179.809893593
2021-04-29,1354648.4877656943,1182797.9835564927,1323504.8824385896
2021-04-30,1347310.1081553332,1184838.0871177309,1316296.488279529
2021-05-03,1356852.4362423527,1196806.2749053065,1325559.3278995894
2021-05-04,1354812.9611971073,1196643.6392650101,1326328.73935447
2021-05-05,1359288.4034521747,1200185.6655175416,1330109.9208010137
2021-05-06,1372396.5514258973,1209000.8139808187,1342474.0851095964
2021-05-07,1382604.4941772737,1212833.4374086699,1351381.438119412
2021-05-10,1381035.5522797527,1219749.7577288933,1350023.697842453
2021-05-11,1363566.0856324183,1207760.8147745081,1331618.3861864158
2021-05-12,1338818.6409852782,1191050.4593482923,1305136.9105375141
2021-05-13,1355068.0712621901,1204338.1332011828,1321992.9259378861
2021-05-14,1369126.9367160504,1210432.4413078171,1336008.0842087367
2021-05-17,1367070.3559185723,1210690.8928437782,1333896.566601942
2021-05-18,1356626.8034386383,1206670.156819194,1323516.5700854678
2021-05-19,1350552.175160295,1203585.5089482674,1317119.784340147
2021-05-20,1359262.0815126589,1210646.33146369,1324429.2690553232
2021-05-21,1361770.4495017214,1208378.1044511024,1329235.6240994725
2021-05-24,1370479.3664773349,1210867.5677073805,1336468.6078532638
2021-05-25,1366808.3732962867,1206195.5919345282,1333300.951974017
2021-05-26,1368664.3704510967,1205218.6668627346,1333712.4482167042
2021-05-27,1372355.0669819964,1201604.3267778363,1339214.2941439198
2021-05-28,1375005.1082442089,1204858.5782144,1341732.6025771261
2021-06-01,1374709.6445317136,1195220.8210651285,1343514.5892570033
2021-06-02,1377037.1431929586,1198496.9572833765,1344488.7622136858
2021-06-03,1376027.199345088,1202651.5140467458,1343581.8311734586
2021-06-04,1384442.9820721752,1208469.5639219596,1350551.0080405697
2021-06-07,1379594.228027623,1202384.6265168106,1345649.0267946895
2021-06-08,1378200.3431388398,1197591.9368317802,1344467.0565837692
2021-06-09,1373747.653987828,1198992.83079194,1338534.2855982766
2021-06-10,1375939.2208042154,1210165.9104025722,1339276.375281234
2021-06-11,1377307.8986342244,1210596.967092798,1339795.640735396
2021-06-14,1376142.7205665063,1208599.387220246,1336459.6523835778
2021-06-15,1372491.8430640616,1204459.7652958808,1332790.641989541
2021-06-16,1363394.5181030133,1195945.1223682656,1322467.8694064838
2021-06-17,1355867.7233690012,1195690.7522400399,1314299.1149643243
2021-06-18,1334454.4948007264,1177977.4917571202,1293573.5777215236
2021-06-21,1356078.099576123,1191338.2772779944,1316378.7571705421
2021-06-22,1358749.5878226908,1193439.494633356,1319044.7549597556
2021-06-23,1355304.7875311542,1187154.9356062065,1316272.657622907
2021-06-24,1367107.2375273611,1193181.6793087844,1328807.431218388
2021-06-25,1383140.4341177288,1211532.3516478795,1338017.4487460635
2021-06-28,1378131.310023634,1210773.7058552727,1332166.6430763404
2021-06-29,1377725.4497990957,1209618.489707557,1332517.120695066
2021-06-30,1385640.7910406445,1217811.5816654772,1340685.8751372255
2021-07-01,1392784.9541377304,1221875.7235492994,1345776.9837598628
2021-07-02,1398674.8049085743,1230386.1800659029,1351715.21909974
2021-07-06,1390586.8381436847,1224069.5165817144,1343594.7331213113
2021-07-07,1395396.0694504385,1230412.8711014527,1347652.1680395224
2021-07-08,1387332.8290292742,1224094.1588809495,1337554.6482872097
2021-07-09,1404176.1493150753,1233032.3142034162,1354971.8225253588
2021-07-12,1408866.613341718,1234046.8867304954,1359868.6429920984
2021-07-13,1405184.2759383619,1234019.3474248457,1355695.697693701
2021-07-14,1408117.4810221605,1240728.9700420615,1357422.5854668664
2021-07-15,1408751.0448067435,1241497.596123149,1359512.7010189882
2021-07-16,1396572.3341353706,1236240.2096503556,1347887.7424285489
2021-07-19,1370327.0083586366,1222200.4813679643,1319684.387998001
2021-07-20,1389923.35023428,1230773.5469652968,1341054.111907701
2021-07-21,1401408.5321136082,1236289.1954012932,1352167.8497879338
2021-07-22,1402246.8661966058,1238505.426911808,1353152.9514533856
2021-07-23,1409584.4643877032,1249771.715650674,1362408.8088428432
2021-07-26,1413718.0878422689,1250710.5953300903,1365624.5813981993
2021-07-27,1410387.454712045,1252669.3017143856,1362291.0216483301
2021-07-28,1405471.0119604785,1244565.8110677544,1357333.182557629
2021-07-29,1411675.9556483228,1247095.7456601919,1363301.7754218653
2021-07-30,1407283.054675012,1247913.6126146507,1357509.559774155
2021-08-02,1405297.0101538356,1245177.6564209065,1353728.3783276116
2021-08-03,1417211.4238732439,1253693.9521108307,1364540.0588404718
2021-08-04,1404927.3326159248,1243082.7118848409,1351960.811471805
2021-08-05,1415223.240682006,1249859.8569907565,1362513.694089504
2021-08-06,1419142.1414655345,1249719.4057192192,1368119.3627500273
2021-08-09,1415463.0546927147,1248500.8828601236,1363974.8017369057
2021-08-10,1421254.801379545,1253476.8144466463,1370301.613388579
2021-08-11,1428944.8227041194,1258286.7617134373,1378861.8281073489
2021-08-12,1432134.3824376066,1261373.0606961753,1379440.138946389
2021-08-13,1433918.7385937357,1266560.7598257978,1380043.4947430254
2021-08-16,1438475.8751255453,1275419.2545531592,1384318.593110891
2021-08-17,1429082.2643476583,1272708.0073616812,1373356.1874895883
2021-08-18,1412280.6922343045,1259052.73580577,1358489.6524480877
2021-08-19,1410062.5888284158,1262334.4240276832,1355902.8877974516
2021-08-20,1418707.36521297,1268098.4996919164,1364683.0427802028
2021-08-23,1428083.8012266345,1268479.9531211585,1373062.023078549
2021-08-24,1429229.1103065696,1262006.3930451325,1374249.1540686104
2021-08-25,1430868.6446170157,1259701.4291936327,1375773.8607295444
2021-08-26,1421977.2508787517,1253122.679924006,1368298.472143746
2021-08-27,1430797.6926157232,1254366.987240138,1377728.429935403
2021-08-30,1430944.4359409406,1257083.668257813,1375553.920465563
2021-08-31,1429402.5909604307,1256156.836750357,1374034.2227961482
2021-09-01,1427934.6980731688,1258134.674285125,1372161.3153308155
2021-09-02,1434353.755656557,1263463.6624714704,1377262.8972993565
2021-09-03,1431477.9186176818,1263914.772319811,1374359.04830679
2021-09-07,1420629.7161507017,1246956.4512235774,1363902.8544041747
2021-09-08,1418004.531282576,1248702.6147173722,1361224.4100299743
2021-09-09,1412352.0050879072,1238955.212891594,1355330.041312796
2021-09-10,1402295.8489179544,1234362.747747905,1344773.9711550393
2021-09-13,1411732.2916820291,1236771.1875083288,1354951.1794087947
2021-09-14,1400216.2487632667,1230710.9511612928,1343602.474290023
2021-09-15,1409322.7836364845,1235127.3449458787,1352804.7506489868
2021-09-16,1405439.1536491266,1232796.2538853823,1350353.9877074794
2021-09-17,1398462.6903668335,1227581.202675779,1343886.468930402
2021-09-20,1375569.561565217,1216069.3241655177,1320011.9456858353
2021-09-21,1372237.2432309345,1215932.1066281165,1318044.6263197458
2021-09-22,1385864.857424857,1221091.2307092375,1331197.1755359336
2021-09-23,1405927.9348272227,1234002.592544564,1350878.565728404
2021-09-24,1404846.2862200225,1233736.9529042966,1352167.8497879338
2021-09-27,1406395.4729008458,1230740.401149007,1354941.1614257563
2021-09-28,1386118.396995786,1215762.7919100625,1332816.2940976245
2021-09-29,1390551.5270597998,1222127.435955312,1336341.8651890648
2021-09-30,1371381.6277257886,1207326.8916603988,1315094.6338901536
2021-10-01,1392634.4891046898,1220959.1308683604,1333844.9588105315
2021-10-04,1383089.921540552,1217287.952786492,1321272.9972477108
2021-10-05,1393855.503305927,1223008.7643055941,1333386.8637679531
2021-10-06,1396611.5633813345,1228126.5998688496,1337362.6369456383
2021-10-07,1409210.5154281051,1236801.3279469542,1350494.6948328838
2021-10-08,1408801.9846792927,1231608.838078695,1350156.967374389
2021-10-11,1399089.1883089838,1225905.6770391841,1340435.1219860197
2021-10-12,1393205.750580386,1220828.6821462158,1335860.8502155952
2021-10-13,1393761.8116189842,1223062.8423129471,1335840.2070990312
2021-10-14,1412676.9701172744,1236354.8492424386,1356619.3253723255
2021-10-15,1424626.4017713687,1243004.4264811496,1371470.8334392684
2021-10-18,1420686.683919758,1239336.7553546429,1370066.0389995526
2021-10-19,1430165.1653934228,1249787.5671866687,1377787.019957416
2021-10-20,1439136.9684560327,1255833.291358668,1383694.5941976905
2021-10-21,1436469.0388092059,1257558.1872095577,1383451.2786399527
2021-10-22,1434828.503235381,1256865.4906074968,1386324.4665329163
2021-10-25,1436372.0551171927,1259769.3183621601,1388816.3639199305
2021-10-26,1437418.1123095276,1264127.121175273,1389427.6126729003
2021-10-27,1429605.0627461162,1261555.4323374098,1379084.196973279
2021-10-28,1443416.1445344586,1275940.952183243,1388401.8319248075
2021-10-29,1447039.2105107799,1282241.2576228827,1391863.1968522284
